,precision,recall,f1-score,support
Apple___Apple_scab,1.0,1.0,1.0,112.0
Apple___Black_rot,1.0,1.0,1.0,126.0
Apple___Cedar_apple_rust,1.0,1.0,1.0,61.0
Apple___healthy,1.0,0.9968944099378882,0.9984447900466563,322.0
Blueberry___healthy,1.0,0.9967532467532467,0.9983739837398374,308.0
Cherry_(including_sour)___Powdery_mildew,1.0,1.0,1.0,214.0
Cherry_(including_sour)___healthy,1.0,0.9885057471264368,0.9942196531791908,174.0
Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,0.9215686274509803,0.9690721649484536,0.9447236180904522,97.0
Corn_(maize)___Common_rust_,1.0,0.9959016393442623,0.997946611909651,244.0
Corn_(maize)___Northern_Leaf_Blight,0.9848484848484849,0.9653465346534653,0.975,202.0
Corn_(maize)___healthy,1.0,1.0,1.0,238.0
Grape___Black_rot,1.0,1.0,1.0,252.0
Grape___Esca_(Black_Measles),1.0,1.0,1.0,270.0
Grape___Leaf_blight_(Isariopsis_Leaf_Spot),1.0,1.0,1.0,216.0
Grape___healthy,1.0,1.0,1.0,88.0
Orange___Haunglongbing_(Citrus_greening),0.9991166077738516,1.0,0.9995581087052585,1131.0
Peach___Bacterial_spot,1.0,1.0,1.0,459.0
Peach___healthy,0.9861111111111112,1.0,0.993006993006993,71.0
"Pepper,_bell___Bacterial_spot",1.0,1.0,1.0,175.0
"Pepper,_bell___healthy",1.0,1.0,1.0,288.0
Potato___Early_blight,1.0,1.0,1.0,215.0
Potato___Late_blight,1.0,0.9808612440191388,0.9903381642512078,209.0
Potato___healthy,1.0,0.96,0.9795918367346939,25.0
Raspberry___healthy,1.0,1.0,1.0,82.0
Soybean___healthy,0.997997997997998,1.0,0.998997995991984,997.0
Squash___Powdery_mildew,1.0,1.0,1.0,360.0
Strawberry___Leaf_scorch,1.0,1.0,1.0,228.0
Strawberry___healthy,1.0,1.0,1.0,88.0
Tomato___Bacterial_spot,0.9953596287703016,1.0,0.9976744186046511,429.0
Tomato___Early_blight,1.0,0.9898477157360406,0.9948979591836734,197.0
Tomato___Late_blight,0.980225988700565,0.9971264367816092,0.9886039886039886,348.0
Tomato___Leaf_Mold,1.0,0.9945054945054945,0.9972451790633609,182.0
Tomato___Septoria_leaf_spot,0.9972602739726028,0.994535519125683,0.9958960328317372,366.0
Tomato___Spider_mites Two-spotted_spider_mite,0.9939759036144579,0.9821428571428571,0.9880239520958084,336.0
Tomato___Target_Spot,0.980544747081712,0.9767441860465116,0.978640776699029,258.0
Tomato___Tomato_Yellow_Leaf_Curl_Virus,1.0,0.9990850869167429,0.9995423340961098,1093.0
Tomato___Tomato_mosaic_virus,1.0,1.0,1.0,62.0
Tomato___healthy,0.9797101449275363,1.0,0.9897510980966325,338.0
accuracy,0.996409170426296,0.996409170426296,0.996409170426296,0.996409170426296
macro avg,0.9951768293749893,0.9944032179746796,0.9947494077613401,10861.0
weighted avg,0.9964620191067612,0.996409170426296,0.9964169024765481,10861.0
