,precision,recall,f1-score,support
Apple___Apple_scab,0.9910714285714286,0.9910714285714286,0.9910714285714286,112.0
Apple___Black_rot,1.0,1.0,1.0,126.0
Apple___Cedar_apple_rust,1.0,1.0,1.0,61.0
Apple___healthy,1.0,0.9968944099378882,0.9984447900466563,322.0
Blueberry___healthy,1.0,0.9967532467532467,0.9983739837398374,308.0
Cherry_(including_sour)___Powdery_mildew,1.0,1.0,1.0,214.0
Cherry_(including_sour)___healthy,1.0,0.9885057471264368,0.9942196531791908,174.0
Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,0.8290598290598291,1.0,0.9065420560747663,97.0
Corn_(maize)___Common_rust_,1.0,0.9959016393442623,0.997946611909651,244.0
Corn_(maize)___Northern_Leaf_Blight,0.9945652173913043,0.905940594059406,0.9481865284974094,202.0
Corn_(maize)___healthy,0.99581589958159,1.0,0.9979035639412999,238.0
Grape___Black_rot,1.0,1.0,1.0,252.0
Grape___Esca_(Black_Measles),1.0,1.0,1.0,270.0
Grape___Leaf_blight_(Isariopsis_Leaf_Spot),1.0,1.0,1.0,216.0
Grape___healthy,1.0,1.0,1.0,88.0
Orange___Haunglongbing_(Citrus_greening),0.9982347749338041,1.0,0.9991166077738516,1131.0
Peach___Bacterial_spot,0.9978260869565218,1.0,0.9989118607181718,459.0
Peach___healthy,1.0,1.0,1.0,71.0
"Pepper,_bell___Bacterial_spot",1.0,1.0,1.0,175.0
"Pepper,_bell___healthy",0.993103448275862,1.0,0.9965397923875432,288.0
Potato___Early_blight,1.0,1.0,1.0,215.0
Potato___Late_blight,1.0,0.9952153110047847,0.9976019184652278,209.0
Potato___healthy,1.0,0.96,0.9795918367346939,25.0
Raspberry___healthy,1.0,1.0,1.0,82.0
Soybean___healthy,0.997,1.0,0.99849774661993,997.0
Squash___Powdery_mildew,0.997229916897507,1.0,0.9986130374479889,360.0
Strawberry___Leaf_scorch,1.0,1.0,1.0,228.0
Strawberry___healthy,1.0,1.0,1.0,88.0
Tomato___Bacterial_spot,0.9953596287703016,1.0,0.9976744186046511,429.0
Tomato___Early_blight,1.0,0.9898477157360406,0.9948979591836734,197.0
Tomato___Late_blight,0.9942528735632183,0.9942528735632183,0.9942528735632183,348.0
Tomato___Leaf_Mold,1.0,0.989010989010989,0.994475138121547,182.0
Tomato___Septoria_leaf_spot,1.0,1.0,1.0,366.0
Tomato___Spider_mites Two-spotted_spider_mite,0.9940652818991098,0.9970238095238095,0.9955423476968797,336.0
Tomato___Target_Spot,0.99609375,0.9883720930232558,0.9922178988326849,258.0
Tomato___Tomato_Yellow_Leaf_Curl_Virus,1.0,0.9990850869167429,0.9995423340961098,1093.0
Tomato___Tomato_mosaic_virus,1.0,1.0,1.0,62.0
Tomato___healthy,0.9970326409495549,0.9940828402366864,0.9955555555555555,338.0
accuracy,0.9963170978731241,0.9963170978731241,0.9963170978731241,0.9963170978731241
macro avg,0.993966073075001,0.9942620469686368,0.9938347353095256,10861.0
weighted avg,0.996626541256192,0.9963170978731241,0.9963577050471155,10861.0
