,precision,recall,f1-score,support
Apple___Apple_scab,0.0,0.0,0.0,63.0
Apple___Black_rot,0.0,0.0,0.0,63.0
Apple___Cedar_apple_rust,0.0,0.0,0.0,28.0
Apple___healthy,0.0,0.0,0.0,165.0
Blueberry___healthy,0.0,0.0,0.0,151.0
Cherry_(including_sour)___Powdery_mildew,0.0,0.0,0.0,106.0
Cherry_(including_sour)___healthy,0.0,0.0,0.0,86.0
Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,0.0,0.0,0.0,52.0
Corn_(maize)___Common_rust_,0.0,0.0,0.0,120.0
Corn_(maize)___Northern_Leaf_Blight,0.0,0.0,0.0,99.0
Corn_(maize)___healthy,0.0,0.0,0.0,117.0
Grape___Black_rot,0.0,0.0,0.0,118.0
Grape___Esca_(Black_Measles),0.0,0.0,0.0,139.0
Grape___Leaf_blight_(Isariopsis_Leaf_Spot),0.0,0.0,0.0,109.0
Grape___healthy,0.0,0.0,0.0,43.0
Orange___Haunglongbing_(Citrus_greening),0.0,0.0,0.0,552.0
Peach___Bacterial_spot,0.0,0.0,0.0,231.0
Peach___healthy,0.0,0.0,0.0,36.0
"Pepper,_bell___Bacterial_spot",0.0,0.0,0.0,101.0
"Pepper,_bell___healthy",0.0,0.0,0.0,149.0
Potato___Early_blight,0.0,0.0,0.0,100.0
Potato___Late_blight,0.0,0.0,0.0,100.0
Potato___healthy,0.0,0.0,0.0,16.0
Raspberry___healthy,0.0,0.0,0.0,38.0
Soybean___healthy,0.0,0.0,0.0,509.0
Squash___Powdery_mildew,0.0,0.0,0.0,184.0
Strawberry___Leaf_scorch,0.0,0.0,0.0,112.0
Strawberry___healthy,0.0,0.0,0.0,47.0
Tomato___Bacterial_spot,0.0,0.0,0.0,214.0
Tomato___Early_blight,0.0,0.0,0.0,100.0
Tomato___Late_blight,0.0,0.0,0.0,192.0
Tomato___Leaf_Mold,0.0,0.0,0.0,96.0
Tomato___Septoria_leaf_spot,0.0,0.0,0.0,178.0
Tomato___Spider_mites Two-spotted_spider_mite,0.0,0.0,0.0,169.0
Tomato___Target_Spot,0.0,0.0,0.0,141.0
Tomato___Tomato_Yellow_Leaf_Curl_Virus,0.09836966477376809,1.0,0.1791194129419613,537.0
Tomato___Tomato_mosaic_virus,0.0,0.0,0.0,38.0
Tomato___healthy,0.0,0.0,0.0,160.0
accuracy,0.09836966477376809,0.09836966477376809,0.09836966477376809,0.09836966477376809
macro avg,0.002588675388783371,0.02631578947368421,0.0047136687616305606,5459.0
weighted avg,0.00967659094770351,0.09836966477376809,0.01761991660557487,5459.0
