Epoch   Train Loss  Train Accuracy  Validation Loss  Validation Accuracy
1       0.9925       71.53            0.3981           87.98
2       0.3701       88.19            0.2832           91.45
3       0.2281       92.60            0.1988           94.09
4       0.1509       95.04            0.1950           94.13
5       0.1065       96.46            0.1736           95.48
6       0.0811       97.32            0.1623           95.83
7       0.0634       97.89            0.1701           95.85
8       0.0517       98.29            0.1696           96.05
9       0.0459       98.48            0.2081           95.07
10      0.0383       98.73            0.1655           96.31

