Epoch   Train Loss  Train Accuracy  Validation Loss  Validation Accuracy
1       2.9753      25.38          2.1096           43.88
2       1.9385      46.47          1.5911           54.53
3       1.5349      55.66          1.2482           63.65
4       1.2121      63.95          0.9948           70.57
5       0.9969      69.99          0.8877           73.31
6       0.8626      73.59          0.7360           77.40
7       0.7562      76.54          0.6736           78.75
8       0.6689      79.11          0.5940           80.88
9       0.5868      81.69          0.5485           82.19
10      0.5300      83.38          0.4841           84.88
