Epoch   Train Loss  Train Accuracy  Validation Loss  Validation Accuracy
1       3.6509      9.37           3.6287           10.15
2       3.5778      10.59          3.4469           16.10
3       3.3768      12.64          3.3360           16.43
4       3.2794      16.86          3.1917           18.39
5       3.0989      19.72          3.0110           21.65
6       2.9484      22.12          2.8954           22.69
7       2.8348      23.85          2.7721           25.24
8       2.6980      26.50          2.6350           27.51
9       2.6018      28.42          2.5645           30.05
10      2.5295      30.14          2.4901           29.59
