,precision,recall,f1-score,support
Apple___Apple_scab,0.7777777777777778,0.7777777777777778,0.7777777777777778,63.0
Apple___Black_rot,0.9833333333333333,0.9365079365079365,0.9593495934959351,63.0
Apple___Cedar_apple_rust,0.8709677419354839,0.9642857142857143,0.9152542372881356,28.0
Apple___healthy,0.9493670886075949,0.9090909090909091,0.9287925696594428,165.0
Blueberry___healthy,0.9928571428571429,0.9205298013245033,0.9553264604810997,151.0
Cherry_(including_sour)___Powdery_mildew,0.9357798165137615,0.9622641509433962,0.9488372093023256,106.0
Cherry_(including_sour)___healthy,0.9659090909090909,0.9883720930232558,0.9770114942528736,86.0
Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,0.7205882352941176,0.9423076923076923,0.8166666666666668,52.0
Corn_(maize)___Common_rust_,0.967741935483871,1.0,0.9836065573770492,120.0
Corn_(maize)___Northern_Leaf_Blight,0.9512195121951219,0.7878787878787878,0.861878453038674,99.0
Corn_(maize)___healthy,0.9914529914529915,0.9914529914529915,0.9914529914529915,117.0
Grape___Black_rot,0.9206349206349206,0.9830508474576272,0.9508196721311476,118.0
Grape___Esca_(Black_Measles),1.0,0.9424460431654677,0.9703703703703704,139.0
Grape___Leaf_blight_(Isariopsis_Leaf_Spot),0.9819819819819819,1.0,0.9909090909090909,109.0
Grape___healthy,0.9772727272727273,1.0,0.9885057471264368,43.0
Orange___Haunglongbing_(Citrus_greening),0.9981481481481481,0.9764492753623188,0.9871794871794872,552.0
Peach___Bacterial_spot,0.9594594594594594,0.922077922077922,0.9403973509933775,231.0
Peach___healthy,0.9142857142857143,0.8888888888888888,0.9014084507042254,36.0
"Pepper,_bell___Bacterial_spot",0.9072164948453608,0.8712871287128713,0.8888888888888888,101.0
"Pepper,_bell___healthy",0.9395973154362416,0.9395973154362416,0.9395973154362416,149.0
Potato___Early_blight,0.96,0.96,0.96,100.0
Potato___Late_blight,0.7931034482758621,0.92,0.851851851851852,100.0
Potato___healthy,0.8461538461538461,0.6875,0.7586206896551724,16.0
Raspberry___healthy,0.8809523809523809,0.9736842105263158,0.925,38.0
Soybean___healthy,0.9939759036144579,0.9724950884086444,0.9831181727904668,509.0
Squash___Powdery_mildew,0.9888268156424581,0.9619565217391305,0.9752066115702479,184.0
Strawberry___Leaf_scorch,0.972972972972973,0.9642857142857143,0.968609865470852,112.0
Strawberry___healthy,1.0,1.0,1.0,47.0
Tomato___Bacterial_spot,0.9530516431924883,0.9485981308411215,0.9508196721311475,214.0
Tomato___Early_blight,0.8421052631578947,0.64,0.7272727272727272,100.0
Tomato___Late_blight,0.8075117370892019,0.8958333333333334,0.8493827160493828,192.0
Tomato___Leaf_Mold,0.8775510204081632,0.8958333333333334,0.8865979381443299,96.0
Tomato___Septoria_leaf_spot,0.8823529411764706,0.9269662921348315,0.9041095890410958,178.0
Tomato___Spider_mites Two-spotted_spider_mite,0.976,0.7218934911242604,0.8299319727891156,169.0
Tomato___Target_Spot,0.7219251336898396,0.9574468085106383,0.8231707317073172,141.0
Tomato___Tomato_Yellow_Leaf_Curl_Virus,0.9553571428571429,0.9962756052141527,0.9753874202370101,537.0
Tomato___Tomato_mosaic_virus,0.9736842105263158,0.9736842105263158,0.9736842105263158,38.0
Tomato___healthy,0.9813664596273292,0.9875,0.9844236760124611,160.0
accuracy,0.9388166330829822,0.9388166330829822,0.9388166330829822,0.9388166330829822
macro avg,0.9240126933621492,0.9233741583071603,0.921084690257414,5459.0
weighted avg,0.9427095242704284,0.9388166330829822,0.9387654924855265,5459.0
