Epoch   Train Loss  Train Accuracy  Validation Loss  Validation Accuracy
1       2.2774      37.99           1.6288           54.99
2       1.4419      58.47           1.1891           65.46
3       1.1327      66.64           1.0402           69.69
4       0.9584      71.72           0.9106           73.58
5       0.8475      74.93           0.8257           76.98
6       0.7610      77.44           0.7584           78.29
7       0.6826      79.62           0.6848           80.12
8       0.6297      81.27           0.6036           83.33
9       0.5823      82.58           0.5616           84.47
10      0.5388      83.87           0.5286           85.73
